iter	Logloss
0	0.6826587294
1	0.6659824467
2	0.6494569366
3	0.6366825344
4	0.6254108704
5	0.615494599
6	0.6068339385
7	0.5990029015
8	0.591690799
9	0.5855955428
10	0.5772075194
11	0.5692116331
12	0.5636468694
13	0.5587531821
14	0.5522592151
15	0.5492113885
16	0.5444789156
17	0.5401121717
18	0.5358888095
19	0.5320911972
20	0.5291006828
21	0.5256136718
22	0.5230296997
23	0.5206143147
24	0.5178781497
25	0.51566565
26	0.5134508611
27	0.5117626835
28	0.5105812198
29	0.508941977
30	0.507865958
31	0.5067291771
32	0.5056316678
33	0.504997881
34	0.5044292528
35	0.5027521332
36	0.5015515177
37	0.5010702054
38	0.4995801358
39	0.4984277582
40	0.4972693641
41	0.496307251
42	0.4954911092
43	0.4947028261
44	0.4929079912
45	0.4924582886
46	0.4915663717
47	0.4905571238
48	0.4895525123
49	0.4889703942
50	0.4880199022
51	0.4875505118
52	0.4869247047
53	0.4862059751
54	0.4858090057
55	0.4855338456
56	0.4847994833
57	0.4840732654
58	0.4828154463
59	0.482338803
60	0.4822025956
61	0.4816414587
62	0.4813447267
63	0.4801956
64	0.4796574579
65	0.4793147666
66	0.4792333906
67	0.4789569383
68	0.4786514625
69	0.4786070516
70	0.4779005458
71	0.4775445289
72	0.4773654052
73	0.4771815221
74	0.4769977603
75	0.4766072385
76	0.47521034
77	0.4745828133
78	0.4740667738
79	0.4734331396
80	0.4733451535
81	0.4730506886
82	0.472941455
83	0.4729414546
84	0.4726642021
85	0.4720143419
86	0.4719843503
87	0.4716759759
88	0.4714012575
89	0.471036988
90	0.4708021127
91	0.4705831946
92	0.4705480499
93	0.4701069438
94	0.4698128937
95	0.46954994
96	0.4688315865
97	0.4688181294
98	0.4685232342
99	0.468234146
100	0.468046073
101	0.4678449936
102	0.4674053266
103	0.4672122698
104	0.4668393794
105	0.4668256056
106	0.4666899789
107	0.4662416819
108	0.465980739
109	0.46582109
110	0.4655055745
111	0.465505514
112	0.4653868576
113	0.4649492379
114	0.4647846111
115	0.464660291
116	0.4645219612
117	0.4639995989
118	0.4634849763
119	0.4632226648
120	0.4630968074
121	0.4626215498
122	0.4623687686
123	0.462368109
124	0.4622089973
125	0.4619079093
126	0.4615303601
127	0.4608940503
128	0.4602374247
129	0.4599996938
130	0.4598000013
131	0.4596676905
132	0.45941242
133	0.4591400086
134	0.4587923777
135	0.458677787
136	0.4583228927
137	0.4582716161
138	0.4581160199
139	0.4573132587
140	0.4571851718
141	0.456762975
142	0.4564746406
143	0.4564253712
144	0.4559756036
145	0.4558750753
146	0.4553319331
147	0.4547066351
148	0.4547065858
149	0.454700643
150	0.4543584024
151	0.4540491874
152	0.4540379821
153	0.4539132809
154	0.4536162665
155	0.4534456849
156	0.453117222
157	0.4527369825
158	0.4524876584
159	0.4524009757
160	0.4522783759
161	0.4519466141
162	0.4513209276
163	0.4509326336
164	0.450817072
165	0.4502903407
166	0.4497349885
167	0.4495535151
168	0.4494366655
169	0.4494178886
170	0.4489948114
171	0.4485761975
172	0.4482063878
173	0.4480870715
174	0.4476599713
175	0.4475328655
176	0.4472449264
177	0.4469002977
178	0.4466367699
179	0.4465531883
180	0.4457776309
181	0.4455690125
182	0.4453967906
183	0.4453817442
184	0.4451949213
185	0.4448951739
186	0.4441750498
187	0.4437269296
188	0.4433964047
189	0.4430105198
190	0.4426119288
191	0.4424949781
192	0.4420894554
193	0.4417596471
194	0.4417076145
