iter	Passed	Remaining
0	238	238528
1	308	154129
2	371	123316
3	430	107253
4	493	98197
5	556	92255
6	619	87862
7	684	84920
8	741	81700
9	810	80287
10	877	78878
11	941	77481
12	1005	76345
13	1076	75832
14	1144	75172
15	1179	72524
16	1234	71399
17	1296	70745
18	1365	70490
19	1431	70135
20	1494	69676
21	1550	68927
22	1616	68669
23	1682	68417
24	1744	68043
25	1806	67667
26	1874	67536
27	1937	67264
28	1996	66862
29	2071	66971
30	2149	67174
31	2220	67172
32	2288	67067
33	2360	67078
34	2426	66912
35	2482	66480
36	2544	66226
37	2608	66039
38	2669	65781
39	2733	65599
40	2797	65422
41	2856	65155
42	2910	64777
43	2969	64522
44	3028	64269
45	3066	63605
46	3121	63292
47	3178	63042
48	3235	62790
49	3292	62553
50	3345	62254
51	3403	62050
52	3459	61816
53	3520	61672
54	3583	61563
55	3639	61343
56	3705	61300
57	3772	61273
58	3833	61140
59	3890	60958
60	3926	60440
61	3987	60319
62	4047	60199
63	4123	60301
64	4189	60268
65	4256	60241
66	4292	59780
67	4355	59696
68	4421	59651
69	4439	58987
70	4501	58906
71	4557	58738
72	4614	58592
73	4673	58481
74	4732	58368
75	4790	58243
76	4853	58182
77	4919	58151
78	4973	57980
79	5034	57901
80	5071	57541
81	5127	57402
82	5193	57379
83	5207	56785
84	5266	56690
85	5322	56564
86	5362	56273
87	5426	56242
88	5492	56224
89	5548	56100
90	5593	55870
91	5659	55856
92	5686	55455
93	5748	55404
94	5813	55384
95	5882	55395
96	5947	55367
97	5967	54925
98	6031	54893
99	6093	54841
100	6153	54775
101	6230	54849
102	6295	54827
103	6357	54768
104	6415	54685
105	6445	54360
106	6510	54333
107	6578	54334
108	6644	54316
109	6728	54436
110	6791	54394
111	6812	54009
112	6880	54012
113	6943	53968
114	7012	53966
115	7079	53953
116	7147	53941
117	7210	53892
118	7274	53853
119	7342	53842
120	7414	53859
121	7480	53833
122	7539	53758
123	7560	53407
124	7624	53369
125	7695	53378
126	7760	53347
127	7823	53298
128	7884	53236
129	7941	53150
130	8003	53090
131	8066	53043
132	8125	52966
133	8189	52926
134	8255	52894
135	8312	52809
136	8371	52735
137	8434	52687
138	8493	52609
139	8554	52551
140	8619	52514
141	8681	52456
142	8742	52394
143	8805	52344
144	8863	52262
145	8929	52233
146	8988	52155
147	9055	52127
148	9072	51816
149	9102	51580
150	9159	51500
151	9233	51514
152	9268	51311
153	9328	51245
154	9385	51168
155	9456	51163
156	9522	51129
157	9589	51101
158	9651	51048
159	9717	51015
160	9781	50973
161	9844	50923
162	9905	50864
163	9965	50800
164	10030	50762
165	10102	50757
166	10163	50694
167	10232	50677
168	10286	50582
169	10352	50546
170	10413	50485
171	10475	50428
172	10536	50369
173	10603	50336
174	10663	50271
175	10725	50212
176	10793	50187
177	10859	50147
178	10915	50064
179	10974	49996
180	11034	49929
181	11101	49896
182	11162	49835
183	11197	49660
184	11279	49689
185	11341	49633
186	11397	49553
187	11465	49521
188	11539	49518
189	11599	49448
190	11672	49441
191	11734	49381
192	11806	49367
193	11877	49346
194	11940	49291
